Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV32	N1-TQ10S01	XT6-a2	XT6-a5
1HV32	N1-TQ10S01	XT6-a11	XT6-a8
1HV32	N1-TQ11D01	XT48-a2	XT48-a5
1HV32	N1-TQ11S02	XT9-a11	XT9-a2
1HV32	N1-TQ11S02	XT9-a2	XT9-a5
1HV32	N1-TQ11S02	XT9-a5	XT9-a8
1HV32	N1-TQ11S03	XT7-a11	XT7-a2
1HV32	N1-TQ11S03	XT7-a2	XT7-a5
1HV32	N1-TQ11S03	XT7-a5	XT7-a8
1HV32	N1-TQ11S06	XT11-a11	XT11-a2
1HV32	N1-TQ11S06	XT11-a2	XT11-a5
1HV32	N1-TQ11S06	XT11-a5	XT11-a8
1HV32	N1-TQ11S09	XT10-a11	XT10-a2
1HV32	N1-TQ11S09	XT10-a2	XT10-a5
1HV32	N1-TQ11S09	XT10-a5	XT10-a8
